"","Treatment","Animal","Date","Dish","Mean_chl","Mean","Simplified_score","Modified2","Mean_Area","Score","mut_category"
"1","Cas9",1,"227",1,19985.4053,12844.443,"Brown",0.01904535,75.9837,"Cas9","≤10%"
"2","Cas9",1,"227",2,16320.0432,13013.412,"Brown",0.01197515,77.9147,"Cas9","≤10%"
"3","Cas9",1,"227",3,18785.4758,14139.906,"Brown",0.01116783,65.3062,"Cas9","≤10%"
"4","Cas9",2,"227",2,21207.8908,16111.632,"Brown",0.02019093,65.4873,"Cas9","≤10%"
"5","Cas9",2,"227",3,17320.0014,11658.638,"Brown",0.02094485,75.6372,"Cas9","≤10%"
"6","Cas9",2,"227",4,12115.3796,13593.549,"Brown",0.00934099,96.7623,"Cas9","≤10%"
"7","Cas9",3,"227",2,20706.2749,11417.75,"Brown",0.01081742,82.932,"Cas9","≤10%"
"8","SLC26A11 P2",1,"227",1,10025.0466,5561.564,"Pale",99.65127633,121.1553,"Pale",">90%"
"9","SLC26A11 P2",1,"227",2,6419.6436,1563.452,"Pale",99.03608526,117.5739,"Pale",">90%"
"10","SLC26A11 P2",1,"227",4,8756.8029,2674.616,"Pale",99.95768569,100.9545,"Pale",">90%"
"11","SLC26A11 P2",2,"227",2,14439.9124,4840.61,"Pale",99.98174298,99.9641,"Pale",">90%"
"12","SLC26A11 P2",2,"227",4,3336.2138,1343.262,"Pale",95.80103984,123.2844,"Pale",">90%"
"13","SLC26A11 P2",3,"227",1,11176.48035,5579.294,"Pale",91.05696935,91.96795,"Pale",">90%"
"14","SLC26A11 P2",3,"227",2,3365.4973,591.472,"Pale",99.81306693,204.0873,"Pale",">90%"
"15","SLC26A11 P2",3,"227",4,2502.1274,884.948,"Pale",98.15032665,145.5644,"Pale",">90%"
"16","SLC26A11 P2",4,"227",1,14922.3352,8376.876,"Pale",99.94651505,71.371,"Pale",">90%"
"17","SLC26A11 P2",4,"227",4,4257.0089,1739.946,"Pale",99.18737678,150.0702,"Pale",">90%"
"18","SLC26A11 P2",5,"227",1,9621.93955,6705.292,"Pale",98.36205264,96.3993,"Pale",">90%"
"19","SLC26A11 P2",5,"227",4,11772.5572,6650.573,"Pale",98.32875952,83.6087,"Pale",">90%"
"20","SLC26A11 P2",6,"227",1,4529.9079,2178.479,"Pale",99.78076063,143.1219,"Pale",">90%"
"21","SLC26A11 P2",6,"227",4,4160.7956,2033.025,"Pale",99.18289563,162.1179,"Pale",">90%"
"22","SLC26A11 P2",7,"227",1,4846.7142,3049.358,"Pale",97.76960275,145.7956,"Pale",">90%"
"23","SLC26A11 P2",7,"227",4,6730.7383,2697.681,"Pale",99.82094549,114.9168,"Pale",">90%"
"24","SLC26A11 P2",8,"227",4,3155.6761,1447.808,"Pale",99.86149584,135.3486,"Pale",">90%"
"25","SLC26A11 P2",9,"227",1,6710.0829,3224.145,"Pale",99.62297847,105.9386,"Pale",">90%"
"26","SLC26A11 P2",12,"227",1,11261.7336,2834.459,"Pale",99.81958001,81.4962,"Pale",">90%"
"27","SLC26A11 P2",13,"227",1,3908.816,1104.78,"Pale",99.67736025,130.3809,"Pale",">90%"
"28","WT",1,"227",2,17823.8304,18293.827,"Brown",0.01336083,78.3275,"WT","≤10%"
"29","WT",2,"227",1,14088.9843,11681.262,"Brown",0.00984487,67.9796,"WT","≤10%"
"30","WT",2,"227",3,16616.7403,15335.469,"Brown",0.0100848,67.2699,"WT","≤10%"
"31","WT",3,"227",1,13508.673,11378.144,"Brown",0.01152559,72.6666,"WT","≤10%"
"32","WT",4,"227",1,19139.2162,15799.108,"Brown",0.01444802,85.061,"WT","≤10%"
"33","WT",5,"227",1,13382.8332,10454.811,"Brown",0.02121038,72.7161,"WT","≤10%"
"34","WT",6,"227",1,16883.9093,10120.768,"Brown",0.01460647,80.671,"WT","≤10%"
"35","SLC26A11 P2",2,"227",3,NA,2461.178,"Pale",85.68839364,NA,"Pale","10-90%"
"36","SLC26A11 P2",4,"227",3,NA,3714.891,"Pale",99.87681154,NA,"Pale",">90%"
